"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"16-OCT-2018","RAMANEWS","Shree Rama Newsprint Ltd","ICICI BANK LTD. (INVESTMENT)","SELL","2,40,00,000","22.65",
"16-OCT-2018","RAMANEWS","Shree Rama Newsprint Ltd","KAILASH  KABRA","BUY","78,40,000","22.65",
"16-OCT-2018","RAMANEWS","Shree Rama Newsprint Ltd","PATEL KETANKUMAR","BUY","87,90,000","22.65",
"16-OCT-2018","RAMANEWS","Shree Rama Newsprint Ltd","RIDDHI SIDDHI GLUCO BIOLS LIMITED","BUY","73,70,000","22.65",
"22-OCT-2018","TRIDENT","Trident Limited","ASIAN COTSPIN PRIVATE LIMITED","SELL","15,70,000","63.85",
"22-OCT-2018","TRIDENT","Trident Limited","TRIDENT GROUP LIMITED","BUY","15,70,000","63.85",
"15-NOV-2018","KOTAKBANK","Kotak Mahindra Bank Limit","ABERDEEN AST MGT ASIA LTD EDINBURGH FD MGRS - DRAGON TR","BUY","25,63,180","1,130.00",
"15-NOV-2018","KOTAKBANK","Kotak Mahindra Bank Limit","GOVERNMENT OF SINGAPORE","BUY","95,57,522","1,130.00",
"15-NOV-2018","KOTAKBANK","Kotak Mahindra Bank Limit","ING MAURITIUS INVESTMENTS I","SELL","1,27,45,702","1,130.00",
"15-NOV-2018","KOTAKBANK","Kotak Mahindra Bank Limit","NOMURA A/C TFL PENSION FUND","BUY","6,25,000","1,130.00",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","EMPLOYEES RETIREMENT PLAN OF DUKE UNIVERSITY","BUY","1,11,150","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","GHI ERP LTD","SELL","1,11,150","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","GHI HSP LTD","SELL","1,96,992","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","GHI JBD LTD","SELL","2,07,425","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","GHI LTP LTD","SELL","6,29,478","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","GOTHIC CORPORATION","BUY","6,29,478","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","GOTHIC HSP CORPORATION","BUY","1,96,992","904.55",
"27-NOV-2018","CENTURYTEX","Century Textiles Ltd.","THE DUKE ENDOWMENT","BUY","2,07,425","904.55",
"13-DEC-2018","MFSL","Max Fin Serv Ltd","MAX VENTURES INVESMENT HOLDINGS PRIVATE LIMITED","SELL","49,99,130","429.50",
"13-DEC-2018","MFSL","Max Fin Serv Ltd","NEW YORK LIFE INSURANCE COMPANY","BUY","49,99,130","429.50",
