"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"23-JAN-2025","360ONE","360 ONE WAM LIMITED","UBS AG","BUY","92,912","1,142.35",
"23-JAN-2025","360ONE","360 ONE WAM LIMITED","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","92,912","1,142.35",
"23-JAN-2025","AMIORG","Ami Organics Limited","UBS AG","BUY","72,900","2,019.65",
"23-JAN-2025","AMIORG","Ami Organics Limited","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","72,900","2,019.65",
"23-JAN-2025","BANKBARODA","Bank of Baroda","UBS AG","BUY","4,60,598","230.75",
"23-JAN-2025","BANKBARODA","Bank of Baroda","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","4,60,598","230.75",
"23-JAN-2025","BLUESTARCO","Blue Star Ltd.","UBS AG","BUY","6,26,264","1,930.90",
"23-JAN-2025","BLUESTARCO","Blue Star Ltd.","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","6,26,264","1,930.90",
"23-JAN-2025","COFORGE","Coforge Limited","UBS AG","BUY","1,95,476","9,219.05",
"23-JAN-2025","COFORGE","Coforge Limited","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","1,95,476","9,219.05",
"23-JAN-2025","FEDERALBNK","Federal Bank Ltd.","UBS AG","BUY","24,68,037","191.65",
"23-JAN-2025","FEDERALBNK","Federal Bank Ltd.","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","24,68,037","191.65",
"23-JAN-2025","FORTIS","Fortis Healthcare Limited","UBS AG","BUY","25,75,203","638.65",
"23-JAN-2025","FORTIS","Fortis Healthcare Limited","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","25,75,203","638.65",
"23-JAN-2025","GLENMARK","Glenmark Pharma Ltd","UBS AG","BUY","6,71,394","1,510.00",
"23-JAN-2025","GLENMARK","Glenmark Pharma Ltd","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","6,71,394","1,510.00",
"23-JAN-2025","GMRP&UI","GMR Pow and Urban Infra L","UBS AG","BUY","11,59,094","119.25",
"23-JAN-2025","GMRP&UI","GMR Pow and Urban Infra L","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","11,59,094","119.25",
"23-JAN-2025","GRAVITA","Gravita India Limited","UBS AG","BUY","71,529","2,111.10",
"23-JAN-2025","GRAVITA","Gravita India Limited","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","71,529","2,111.10",
"23-JAN-2025","HYUNDAI","Hyundai Motor India Ltd","UBS AG","BUY","6,09,124","1,704.05",
"23-JAN-2025","HYUNDAI","Hyundai Motor India Ltd","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","6,09,124","1,704.05",
"23-JAN-2025","INDUSINDBK","IndusInd Bank Ltd.","UBS AG","BUY","3,75,588","976.20",
"23-JAN-2025","INDUSINDBK","IndusInd Bank Ltd.","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","3,75,588","976.20",
"23-JAN-2025","INFY","Infosys Limited","UBS AG","BUY","4,85,672","1,868.60",
"23-JAN-2025","INFY","Infosys Limited","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","4,85,672","1,868.60",
"23-JAN-2025","JYOTICNC","Jyoti CNC Automation Ltd","UBS AG","BUY","3,79,837","1,222.05",
"23-JAN-2025","JYOTICNC","Jyoti CNC Automation Ltd","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","3,79,837","1,222.05",
"23-JAN-2025","KPITTECH","KPIT Technologies Limited","UBS AG","BUY","95,054","1,347.60",
"23-JAN-2025","KPITTECH","KPIT Technologies Limited","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","95,054","1,347.60",
"23-JAN-2025","LLOYDSME","Lloyds Metals N Energy L","UBS AG","BUY","2,26,695","1,400.45",
"23-JAN-2025","LLOYDSME","Lloyds Metals N Energy L","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","2,26,695","1,400.45",
"23-JAN-2025","MANINFRA","Man Infra Ltd","UBS AG","BUY","5,79,912","211.50",
"23-JAN-2025","MANINFRA","Man Infra Ltd","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","5,79,912","211.50",
"23-JAN-2025","MFSL","Max Fin Serv Ltd","UBS AG","BUY","13,60,443","1,060.25",
"23-JAN-2025","MFSL","Max Fin Serv Ltd","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","13,60,443","1,060.25",
"23-JAN-2025","PAYTM","One 97 Communications Ltd","UBS AG","BUY","18,66,355","853.25",
"23-JAN-2025","PAYTM","One 97 Communications Ltd","UBS PRINCIPAL CAPITAL ASIA LIMITED","SELL","18,66,355","853.25",
"23-JAN-2025","PERSISTENT","Persistent Systems Ltd","UBS AG","BUY","34,679","6,325.60",
