"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"07-JAN-2011","CENTURYPLY","Century Plyboards (India)","SAJAN KUMAR BANSAL","SELL","20,00,000","60.00",
"07-JAN-2011","CENTURYPLY","Century Plyboards (India)","SAJJAN BHAJANKA","BUY","12,50,000","60.00",
"07-JAN-2011","CENTURYPLY","Century Plyboards (India)","SANJAY AGARWAL","BUY","7,50,000","60.00",
"07-JAN-2011","SUNTECK","Sunteck Realty Limited","KEYSTONE STOCKFIN PVT LTD","BUY","1,00,000","525.00",
"07-JAN-2011","SUNTECK","Sunteck Realty Limited","MANISHA KAMAL KHETAN","SELL","1,00,000","525.00",
"12-JAN-2011","HINDMOTOR","Hindustan Motors Ltd.","LTD NATIONAL ENGINEERING INDUSTRIES","SELL","55,00,000","22.15",
"12-JAN-2011","HINDMOTOR","Hindustan Motors Ltd.","NATIONAL BEARING CO. (JAIPUR) LIMITED","BUY","55,00,000","22.15",
"19-JAN-2011","ASSAMCO","Assam Company India Ltd","LOTUS GLOBAL INVESTMENTS LTD","SELL","1,12,00,000","19.05",
"19-JAN-2011","ASSAMCO","Assam Company India Ltd","SIRIYARI TRADECOM PRIVATE LIMITED","BUY","1,12,00,000","19.05",
"20-JAN-2011","ASSAMCO","Assam Company India Ltd","LOTUS GLOBAL INVESTMENTS LTD","SELL","72,25,000","18.95",
"20-JAN-2011","ASSAMCO","Assam Company India Ltd","SIRIYARI TRADECOM PRIVATE LIMITED","BUY","72,25,000","18.95",
"28-JAN-2011","CENTURYPLY","Century Plyboards (India)","SANJAY AGARWAL","BUY","8,00,000","60.00",
"28-JAN-2011","CENTURYPLY","Century Plyboards (India)","SHARAN  BANSAL","SELL","8,00,000","60.00",
"31-JAN-2011","SADBHAV","Sadbhav Engineering Limit","SADBHAV FIN STOCK PRIVATE LIMITED","BUY","19,50,000","100.00",
"31-JAN-2011","SADBHAV","Sadbhav Engineering Limit","VISHNUBHAI MAFATBHAI PATEL","SELL","19,50,000","100.00",
"01-FEB-2011","SADBHAV","Sadbhav Engineering Limit","SADBHAV FIN STOCK PRIVATE LIMITED","BUY","14,50,000","101.00",
"01-FEB-2011","SADBHAV","Sadbhav Engineering Limit","VISHNUBHAI MAFATBHAI PATEL","SELL","14,50,000","101.00",
"02-FEB-2011","SADBHAV","Sadbhav Engineering Limit","SADBHAV FIN STOCK PRIVATE LIMITED","BUY","29,80,625","105.00",
"02-FEB-2011","SADBHAV","Sadbhav Engineering Limit","SHANTABEN VISHNUBHAI PATEL","SELL","8,60,625","105.00",
"02-FEB-2011","SADBHAV","Sadbhav Engineering Limit","VISHNUBHAI MAFATBHAI PATEL","SELL","21,20,000","105.00",
"07-FEB-2011","JYOTISTRUC","Jyoti Structures Ltd","THAKUR KANAYO  RATANLAL","BUY","8,00,000","101.00",
"07-FEB-2011","JYOTISTRUC","Jyoti Structures Ltd","VALECHA ENGINEERING LIMITED","SELL","8,00,000","101.00",
"07-FEB-2011","SADBHAV","Sadbhav Engineering Limit","SADBHAV FIN STOCK PRIVATE LIMITED","BUY","10,00,000","102.00",
"07-FEB-2011","SADBHAV","Sadbhav Engineering Limit","VISHNUBHAI MAFATBHAI PATEL","SELL","10,00,000","102.00",
"16-FEB-2011","KITPLYIND","Kitply Industries Ltd","DAULAT FINANCIAL SERVICES PVT LTD","BUY","8,33,000","5.15",
"16-FEB-2011","KITPLYIND","Kitply Industries Ltd","DEEPLOK SECURITIES LIMITED","SELL","8,33,000","5.15",
"25-FEB-2011","MONNETISPA","Monnet Ispat Ltd","ICICI BANK CANADA","SELL","3,00,000","570.00",
"25-FEB-2011","MONNETISPA","Monnet Ispat Ltd","PUSHPANJALI INVESTRADE LTD.","BUY","3,00,000","570.00",
"28-FEB-2011","VAIBHAVGEM","Vaibhav Gems Limited","AMIT KUMAR DUGAR","BUY","15,00,499","20.65",
"28-FEB-2011","VAIBHAVGEM","Vaibhav Gems Limited","CORTLAND INVESTMENT LIMITED","SELL","89,13,529","20.65",
"28-FEB-2011","VAIBHAVGEM","Vaibhav Gems Limited","DESAI SAJEED BABASAHEB","BUY","14,41,628","20.65",
"28-FEB-2011","VAIBHAVGEM","Vaibhav Gems Limited","HANUMAN SAHAY GURJAR","BUY","15,00,601","20.65",
"28-FEB-2011","VAIBHAVGEM","Vaibhav Gems Limited","LAKSHON ELECTRONICS PVT LTD","BUY","15,24,999","20.65",
"28-FEB-2011","VAIBHAVGEM","Vaibhav Gems Limited","PANYAEK  JAINKIJMANEE","BUY","15,00,751","20.65",
